target_name	program_name	log2FC	p-value	adj_pval
Ptprd_1	8	-0.0033178545259687497	0.4597802520907267	0.651745844888117
Ptprd_2	8	-0.011746119400247182	0.24931168709772494	0.5286977571824074
Rbks	8	-0.0040020906996788425	0.4424362113445852	0.6426189573703692
Rbm6	8	0.024247066838334136	0.3661796026526477	0.6049937053426097
Rela_1	8	0.00022194226224643183	0.6982579490754097	0.7363538862311746
Rela_2	8	0.0005947612265523531	0.6302687158416589	0.7153002800031024
Rfxank	8	0.02540330875986255	0.38611696678952945	0.6145289386612912
Rictor	8	-0.014184646275723717	0.152455546719712	0.43353925335503674
Rnf123	8	0.022232160585402592	0.273313342106015	0.5474272572553132
Rplp2	8	0.0046246894574983885	0.8227460549713035	0.7647040133166483
Rps9	8	0.022868603373968458	0.3446162245502263	0.5944131900845413
