target_name	program_name	log2FC	p-value	adj_pval
Slc17a2	1	-0.10660074728584139	0.9502961957511413	0.909062713574163
Slc17a3_1	1	0.01377941113341654	0.24394064692980588	0.6742727074036449
Slc17a3_2	1	-0.2428712366163117	0.7815472997209014	0.876519523286391
Slc25a22_1	1	-0.15441798281426375	0.6870367700758206	0.8537258178267825
Slc25a22_2	1	-0.21887880143539284	0.4975419362680358	0.7984409096276129
Slc25a42	1	-0.14042948723109838	0.6393184561827442	0.8411146804753872
Slc30a10	1	-0.05218099224763014	0.5822018511145463	0.8287618306075177
Slc39a8	1	-0.34980948926850863	0.19867199628447738	0.6357899261194182
Slc4a1ap	1	-0.09303325710432114	0.7219012899112598	0.8616597132262759
Slco1b2	1	-0.3603469007970551	0.245102151767921	0.6758110427809652
Smad2	1	0.17677585019426673	0.013641313394288129	0.20435999707880098
Smcr8	1	-0.07268903361477211	0.7798743970032198	0.8762903198030706
Smyd2	1	0.11262493990326568	0.11800839069470709	0.5376371304838519
Socs2	1	-0.24449714708587936	0.31245266221308804	0.7167263876172655
Sod1	1	-0.11092890437464625	0.9565623487536572	0.9098188695765741
Sod2	1	-0.1546080048923518	0.7688422388843448	0.8738815213679232
Sqle	1	-0.23164785391148765	0.3570814110327574	0.7389164867081607
Sqstm1	1	0.009652625018500066	0.22150966954781287	0.6570328865582907
Srebf1_1	1	0.18584354756626778	0.06490785658504505	0.4347899213040699
Srebf1_2	1	-0.14686961241114274	0.7134535621711704	0.859071564133869
Stk11	1	0.22322431902609188	0.009422621925209663	0.16790190951170594
Sugp1	1	-0.26369807821977653	0.24612119392156828	0.6766936397533333
Sugp2	1	-0.29602532347505767	0.20323403878311286	0.6395967069964076
Sult1e1	1	-0.023579514743752892	0.458325299935441	0.7831455677974508
Taldo1	1	0.054178466497736166	0.1468636838757286	0.5778260366658552
Tcf4_1	1	-0.26310917826828906	0.2488908989715578	0.6779430096812177
Tcf4_2	1	-0.049465419745536185	0.6670140690580725	0.8500036596451757
Tfeb	1	-0.11299062880074755	0.9402208258600315	0.9084737106795439
Tgfbr2	1	-0.20505112056453628	0.3641638295431189	0.7423617978866672
Thrb_1	1	-0.22563915797326475	0.3781583753382277	0.7496171504360085
Thrb_2	1	-0.5447034987528209	0.04430450039938819	0.36953128462346163
Thrsp	1	-0.2721442783549264	0.2004906979017922	0.6387721699898702
Tm6sf2	1	-0.34661891731964867	0.1773773862989439	0.6148817536739717
Tmc4	1	-0.09935365696901312	0.8097053337884593	0.883368150897841
Tmem161a	1	-0.33095723893267937	0.17652703373210288	0.6140393765511312
Tmprss6	1	-0.870650911054458	6.503773597922234e-06	0.00043672812202917317
Tnks	1	-0.1296706439787047	0.9147689339790862	0.9050251107061476
Tom1l2	1	0.09991940805291195	0.06769567590465328	0.4393670543597086
Tomm40	1	-0.47182613225723147	0.005725091434156865	0.12274938004248764
Top3a	1	-0.19254377718768406	0.7016152196011147	0.8568217448673368
Tor1a	1	-0.3146684410060278	0.3266001502348024	0.7231278831507233
Tor1b	1	0.040368955466384596	0.22957151597427866	0.662962717723465
Tpst1_1	1	-0.12972455970387833	0.6452386723793087	0.8438073506510297
Tpst1_2	1	-0.26827984146610356	0.3105965935313488	0.7160562179227962
Trib1_1	1	-0.8214020340782988	2.332436803580806e-06	0.00017734461122247244
